,w_star,method,gamma,N,expected_return
0,"[2.47191542e-16 3.95550517e-16 0.00000000e+00 1.00000000e+00
 2.47451113e-16]",SAA,0.1,50,0.028680000000000025
1,"[0.00000000e+00 0.00000000e+00 1.04083409e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,100,0.028680000000000004
2,"[2.56820023e-16 1.07459673e-16 1.00000000e+00 0.00000000e+00
 0.00000000e+00]",SAA,0.1,200,0.02890000000000001
3,"[2.48253415e-17 0.00000000e+00 3.60822483e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,50,0.02868000000000001
4,"[1.19084060e-16 0.00000000e+00 5.42456534e-16 1.00000000e+00
 2.33753988e-16]",SAA,0.1,100,0.028680000000000025
5,"[3.62179540e-17 2.97687053e-17 1.00000000e+00 4.44089210e-16
 0.00000000e+00]",SAA,0.1,200,0.028900000000000012
6,"[1.80466557e-17 1.45763432e-16 0.00000000e+00 1.00000000e+00
 4.05411170e-16]",SAA,0.1,50,0.028680000000000015
7,"[0.00000000e+00 0.00000000e+00 4.85722573e-17 1.00000000e+00
 3.19189120e-16]",SAA,0.1,100,0.028680000000000008
8,"[8.32667268e-17 0.00000000e+00 2.56739074e-16 1.00000000e+00
 3.46944695e-17]",SAA,0.1,200,0.02868000000000001
9,[0.         0.         0.71787143 0.28212857 0.        ],SAA,0.1,50,0.0288379317146
10,[0.         0.         0.54893064 0.45106936 0.        ],SAA,0.1,100,0.028800764740799997
11,"[1.26684056e-16 1.29618224e-16 7.12307871e-01 2.87692129e-01
 6.15971897e-17]",SAA,0.1,200,0.02883670773162001
12,"[0.00000000e+00 6.24913585e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",SAA,0.1,50,0.028680000000000018
13,"[4.16333634e-16 4.16333634e-17 6.50521303e-17 1.00000000e+00
 2.49800181e-16]",SAA,0.1,100,0.02868000000000002
14,"[2.01227923e-16 1.87350135e-16 1.00000000e+00 1.09287579e-16
 0.00000000e+00]",SAA,0.1,200,0.028900000000000012
15,"[3.72380123e-17 1.75658951e-16 1.00000000e+00 0.00000000e+00
 0.00000000e+00]",SAA,0.1,50,0.028900000000000006
16,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 3.60822483e-16
 0.00000000e+00]",SAA,0.1,100,0.02890000000000001
17,"[2.85537620e-16 5.39936036e-16 1.00000000e+00 2.63677968e-16
 5.01536088e-16]",SAA,0.1,200,0.028900000000000037
18,"[0.00000000e+00 0.00000000e+00 3.05311332e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,50,0.02868000000000001
19,"[0.00000000e+00 1.20344914e-16 5.75649736e-02 9.42435026e-01
 1.67762319e-16]",SAA,0.1,100,0.028692664282720007
20,"[5.55111512e-17 0.00000000e+00 1.35308431e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,200,0.028680000000000008
21,"[1.03797075e-16 1.70002901e-16 0.00000000e+00 1.00000000e+00
 1.54726001e-16]",SAA,0.1,50,0.02868000000000001
22,[0. 0. 0. 1. 0.],SAA,0.1,100,0.02868
23,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 8.32667268e-17
 0.00000000e+00]",SAA,0.1,200,0.028900000000000002
24,"[2.08166817e-16 0.00000000e+00 1.80411242e-16 1.00000000e+00
 2.18575158e-16]",SAA,0.1,50,0.028680000000000018
25,"[0.00000000e+00 2.86229374e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",SAA,0.1,100,0.028680000000000008
26,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 1.94289029e-16
 0.00000000e+00]",SAA,0.1,200,0.028900000000000006
27,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 2.77555756e-17]",SAA,0.1,50,0.0289
28,[0. 0. 1. 0. 0.],SAA,0.1,100,0.0289
29,[0. 0. 1. 0. 0.],SAA,0.1,200,0.0289
30,"[1.73319124e-17 2.32195073e-17 1.00000000e+00 0.00000000e+00
 6.80791508e-17]",SAA,0.1,50,0.0289
31,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.35308431e-16]",SAA,0.1,100,0.028900000000000002
32,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 4.30211422e-16
 1.23470790e-16]",SAA,0.1,200,0.028900000000000016
33,"[2.22044605e-16 0.00000000e+00 2.63677968e-16 1.00000000e+00
 6.76542156e-16]",SAA,0.1,50,0.028680000000000032
34,"[1.11022302e-16 1.73472348e-16 5.16331111e-01 4.83668889e-01
 0.00000000e+00]",SAA,0.1,100,0.028793592844420006
35,"[1.01350512e-15 0.00000000e+00 1.06506836e-01 8.93493164e-01
 0.00000000e+00]",SAA,0.1,200,0.028703431503920025
36,"[0.00000000e+00 1.18164848e-16 2.22044605e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,50,0.02868000000000001
37,[1.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.2858386e-17],SAA,0.1,100,0.026110000000000005
38,"[0.00000000e+00 2.29211042e-16 1.00000000e+00 0.00000000e+00
 0.00000000e+00]",SAA,0.1,200,0.028900000000000006
39,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 1.11022302e-16
 6.08210576e-17]",SAA,0.1,50,0.028900000000000002
40,"[3.45393717e-17 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.64304635e-16]",SAA,0.1,100,0.028900000000000002
41,"[3.99454386e-17 2.94813919e-16 1.00000000e+00 3.28513258e-16
 0.00000000e+00]",SAA,0.1,200,0.028900000000000016
42,"[5.89805982e-17 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.54390389e-16]",SAA,0.1,50,0.028900000000000002
43,"[2.28983499e-16 0.00000000e+00 1.59594560e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,100,0.02868000000000001
44,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 1.88044025e-15
 0.00000000e+00]",SAA,0.1,200,0.028900000000000054
45,"[0.00000000e+00 0.00000000e+00 2.28983499e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,50,0.028680000000000008
46,"[7.07767178e-16 1.76941795e-16 1.00000000e+00 2.32452946e-16
 2.51534904e-17]",SAA,0.1,100,0.02890000000000003
47,"[0.00000000e+00 1.87350135e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",SAA,0.1,200,0.028680000000000004
48,"[3.22213556e-16 0.00000000e+00 4.71844785e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,50,0.02868000000000002
49,"[7.21644966e-16 4.16333634e-16 4.22405166e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,100,0.028680000000000042
50,"[3.46292633e-16 4.83249205e-16 1.00000000e+00 3.05311332e-16
 1.31727666e-16]",SAA,0.1,200,0.028900000000000033
51,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 4.91794105e-16
 6.82613688e-16]",SAA,0.1,50,0.02890000000000003
52,"[0.00000000e+00 0.00000000e+00 6.24500451e-17 1.00000000e+00
 2.22044605e-16]",SAA,0.1,100,0.02868000000000001
53,"[5.81788371e-16 1.84829582e-16 1.00000000e+00 0.00000000e+00
 3.65944294e-16]",SAA,0.1,200,0.02890000000000003
54,"[1.45716772e-16 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00]",SAA,0.1,50,0.028900000000000002
