,w_star,method,gamma,N,expected_return,wasserstein_distance
0,"[0.00000000e+00 0.00000000e+00 8.39778247e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,50,28.680000000242696,0.06425209236274296
1,"[6.89726054e-14 7.25308702e-13 0.00000000e+00 1.00000000e+00
 1.05565556e-12]",Bayesian,0.1,100,28.680000000045613,0.06425209236405252
2,[0.         0.         0.01226915 0.98773085 0.        ],Bayesian,0.1,200,28.682699213000003,0.059344432364422516
3,[0.         0.         0.06186751 0.93813249 0.        ],Bayesian,1.0,50,28.6936108522,0.02474700400000117
4,"[1.02695630e-15 6.38378239e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100,28.680000000000042,1.421085471932653e-15
5,"[9.24207073e-15 0.00000000e+00 4.39491888e-02 9.56050811e-01
 7.04187189e-15]",Bayesian,1.0,200,28.68966881580041,0.017579675560004344
6,"[4.79923957e-01 4.11996826e-17 6.76542156e-17 5.20076043e-01
 8.76035355e-17]",Bayesian,5.0,50,27.446595430510005,0.13007585077618272
7,"[1.67146902e-01 3.29597460e-16 8.67361738e-17 8.32853098e-01
 0.00000000e+00]",Bayesian,5.0,100,28.25043246186001,0.004965028776182769
8,"[3.00204788e-01 1.04083409e-16 0.00000000e+00 6.99795212e-01
 0.00000000e+00]",Bayesian,5.0,200,27.908473694840005,0.05818818317618269
9,"[0.00000000e+00 0.00000000e+00 1.97350469e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,50,28.680000000057035,0.06425209236402782
10,[0.         0.         0.07686444 0.92313556 0.        ],Bayesian,0.1,100,28.6969101768,0.0335063163644225
11,"[2.52527512e-11 2.88757283e-11 1.14365902e-01 8.85634098e-01
 3.63646121e-11]",Bayesian,0.1,200,28.705160500706604,0.018505731568503377
12,"[1.25177330e-13 1.13059964e-13 6.54251936e-02 9.34574806e-01
 1.49246732e-13]",Bayesian,1.0,50,28.694393531129727,0.02617007752007859
13,"[0.00000000e+00 2.77555756e-16 2.22044605e-15 1.00000000e+00
 6.91113833e-15]",Bayesian,1.0,100,28.680000000000238,2.9698465913326532e-15
14,[0.         0.         0.03328566 0.96671434 0.        ],Bayesian,1.0,200,28.6873228452,0.013314264000001165
15,"[6.93889390e-18 5.98479599e-17 4.33680869e-18 1.00000000e+00
 1.11022302e-16]",Bayesian,5.0,50,28.680000000000007,0.0618937320238173
