,method,N,w_star
0,SAA,10,-0.1875932246
1,Bayes,10,-0.1885984166
2,SAA,20,-0.1923685844
3,Bayes,20,-0.1917162719
4,SAA,50,-0.2018906253
5,Bayes,50,-0.1989942614
6,SAA,10,-0.1927441874
7,Bayes,10,-0.1934012203
8,SAA,20,-0.2046093992
9,Bayes,20,-0.2036996152
10,SAA,50,-0.1963061621
11,Bayes,50,-0.1957297248
12,SAA,10,-0.206238665
13,Bayes,10,-0.2054708886
14,SAA,20,-0.2069145352
15,Bayes,20,-0.2035300008
16,SAA,50,-0.1922230665
17,Bayes,50,-0.1918030371
18,SAA,10,-0.1961039098
19,Bayes,10,-0.1962327083
20,SAA,20,-0.2042454582
21,Bayes,20,-0.2094043843
22,SAA,50,-0.1954194501
23,Bayes,50,-0.1948269758
24,SAA,10,-0.2035607623
25,Bayes,10,-0.2056943666
26,SAA,20,-0.1989333948
27,Bayes,20,-0.2009120318
28,SAA,50,-0.1973423767
29,Bayes,50,-0.197600547
30,SAA,10,-0.194478666
31,Bayes,10,-0.1941329574
32,SAA,20,-0.2143667673
33,Bayes,20,-0.2137423532
34,SAA,50,-0.1941247486
35,Bayes,50,-0.193413558
36,SAA,10,-0.216882208
37,Bayes,10,-0.2153080786
38,SAA,20,-0.1958814411
39,Bayes,20,-0.1995844759
40,SAA,50,-0.2023987442
41,Bayes,50,-0.2016617468
42,SAA,10,-0.2192259719
43,Bayes,10,-0.2189460334
44,SAA,20,-0.1981677406
45,Bayes,20,-0.1967267053
46,SAA,50,-0.1914822733
47,Bayes,50,-0.1920974502
48,SAA,10,-0.2142049722
49,Bayes,10,-0.2153931694
50,SAA,20,-0.1913102874
51,Bayes,20,-0.1967188835
52,SAA,50,-0.1917251016
53,Bayes,50,-0.1921905685
54,SAA,10,-0.2060832913
55,Bayes,10,-0.2076428923
56,SAA,20,-0.2187852966
57,Bayes,20,-0.2165563547
58,SAA,50,-0.2071798562
59,Bayes,50,-0.2082985121
60,SAA,10,-0.2101338964
61,Bayes,10,-0.2106375498
62,SAA,20,-0.1929688026
63,Bayes,20,-0.1947676738
64,SAA,50,-0.1968526315
65,Bayes,50,-0.1961798092
66,SAA,10,-0.198876237
67,Bayes,10,-0.1955065937
68,SAA,20,-0.2145254795
69,Bayes,20,-0.2126020558
70,SAA,50,-0.2083775981
71,Bayes,50,-0.2086100804
72,SAA,10,-0.2122206127
73,Bayes,10,-0.2121939358
74,SAA,20,-0.1923583767
75,Bayes,20,-0.192726715
76,SAA,50,-0.1924775255
77,Bayes,50,-0.191765326
78,SAA,10,-0.2072744467
79,Bayes,10,-0.2083341927
80,SAA,20,-0.1854702465
81,Bayes,20,-0.1874894268
82,SAA,50,-0.2037958192
83,Bayes,50,-0.2048904509
84,SAA,10,-0.1997531302
85,Bayes,10,-0.1988069599
86,SAA,20,-0.1946533684
87,Bayes,20,-0.1954075741
88,SAA,50,-0.1962561678
89,Bayes,50,-0.1946289923
90,SAA,10,-0.2004843914
91,Bayes,10,-0.201700271
92,SAA,20,-0.196663606
93,Bayes,20,-0.2007048635
94,SAA,50,-0.2159710353
95,Bayes,50,-0.2151562453
96,SAA,10,-0.1999966234
97,Bayes,10,-0.1972778445
98,SAA,20,-0.1814284745
99,Bayes,20,-0.181156299
100,SAA,50,-0.2036740025
101,Bayes,50,-0.2023707627
102,SAA,10,-0.2389955354
103,Bayes,10,-0.2350450999
104,SAA,20,-0.2012804909
105,Bayes,20,-0.1987341008
106,SAA,50,-0.2057856916
107,Bayes,50,-0.2062136649
108,SAA,10,-0.1991091933
109,Bayes,10,-0.1992422657
110,SAA,20,-0.2135997512
111,Bayes,20,-0.2129802958
112,SAA,50,-0.1965939551
113,Bayes,50,-0.1958387071
114,SAA,10,-0.2035839008
115,Bayes,10,-0.2065848324
116,SAA,20,-0.2074224152
117,Bayes,20,-0.2071819423
118,SAA,50,-0.2141695464
119,Bayes,50,-0.2103184774
120,SAA,10,-0.209998199
121,Bayes,10,-0.2082313148
122,SAA,20,-0.1999612309
123,Bayes,20,-0.201175691
124,SAA,50,-0.2067666316
125,Bayes,50,-0.2069162589
126,SAA,10,-0.2122106898
127,Bayes,10,-0.2109861246
128,SAA,20,-0.1864921491
129,Bayes,20,-0.1875458044
130,SAA,50,-0.1952273389
131,Bayes,50,-0.1955956269
132,SAA,10,-0.2154122191
133,Bayes,10,-0.2162844239
134,SAA,20,-0.1950379661
135,Bayes,20,-0.1959294422
136,SAA,50,-0.2075319263
137,Bayes,50,-0.2090904771
138,SAA,10,-0.2079599235
139,Bayes,10,-0.2043318626
140,SAA,20,-0.2083599577
141,Bayes,20,-0.2062279583
142,SAA,50,-0.2101295355
143,Bayes,50,-0.2097714287
144,SAA,10,-0.1847268517
145,Bayes,10,-0.1820184135
146,SAA,20,-0.1911543881
147,Bayes,20,-0.1917080888
148,SAA,50,-0.201902687
149,Bayes,50,-0.2002281602
150,SAA,10,-0.22103233
151,Bayes,10,-0.2172053988
152,SAA,20,-0.1928449483
153,Bayes,20,-0.193562754
154,SAA,50,-0.1885197163
155,Bayes,50,-0.187394445
156,SAA,10,-0.2113903444
157,Bayes,10,-0.2112174384
158,SAA,20,-0.1918647796
159,Bayes,20,-0.1944043242
160,SAA,50,-0.1850654799
161,Bayes,50,-0.184954043
162,SAA,10,-0.2296244411
163,Bayes,10,-0.2303918783
164,SAA,20,-0.2035721927
165,Bayes,20,-0.2044593589
166,SAA,50,-0.2033161382
167,Bayes,50,-0.2002197537
168,SAA,10,-0.2101868934
169,Bayes,10,-0.2056536609
170,SAA,20,-0.2160183491
171,Bayes,20,-0.2152166803
172,SAA,50,-0.1976686484
173,Bayes,50,-0.1966742205
174,SAA,10,-0.1974205958
175,Bayes,10,-0.1942650076
176,SAA,20,-0.1988156773
177,Bayes,20,-0.205939845
178,SAA,50,-0.1961348773
179,Bayes,50,-0.19316707
180,SAA,10,-0.2053396256
181,Bayes,10,-0.2023210422
182,SAA,20,-0.2071984984
183,Bayes,20,-0.2082563034
184,SAA,50,-0.2008427361
185,Bayes,50,-0.2004044654
186,SAA,10,-0.2077436584
187,Bayes,10,-0.2062719817
188,SAA,20,-0.1810517227
189,Bayes,20,-0.1820712006
190,SAA,50,-0.1913231944
191,Bayes,50,-0.1908202643
192,SAA,10,-0.1947802757
193,Bayes,10,-0.1895180503
194,SAA,20,-0.1859516339
195,Bayes,20,-0.1840767897
196,SAA,50,-0.2040259628
197,Bayes,50,-0.2030864559
198,SAA,10,-0.1881622663
199,Bayes,10,-0.1886978648
200,SAA,20,-0.2075285518
201,Bayes,20,-0.2096397072
202,SAA,50,-0.2036298763
203,Bayes,50,-0.203569118
204,SAA,10,-0.1816618222
205,Bayes,10,-0.1867425856
206,SAA,20,-0.196044725
207,Bayes,20,-0.1938376644
208,SAA,50,-0.2063114591
209,Bayes,50,-0.2065875465
210,SAA,10,-0.2062416521
211,Bayes,10,-0.2093588714
212,SAA,20,-0.1949252453
213,Bayes,20,-0.1972694873
214,SAA,50,-0.1921835092
215,Bayes,50,-0.1938052298
216,SAA,10,-0.1936142896
217,Bayes,10,-0.1971439233
218,SAA,20,-0.1871833126
219,Bayes,20,-0.1892255717
220,SAA,50,-0.2096571854
221,Bayes,50,-0.2088677014
222,SAA,10,-0.192881643
223,Bayes,10,-0.190880189
224,SAA,20,-0.1909211347
225,Bayes,20,-0.1923949782
226,SAA,50,-0.2001197009
227,Bayes,50,-0.1998389411
228,SAA,10,-0.2055655418
229,Bayes,10,-0.2060933991
230,SAA,20,-0.2077728054
231,Bayes,20,-0.2020528193
232,SAA,50,-0.1919022014
233,Bayes,50,-0.1903942139
234,SAA,10,-0.1688969081
235,Bayes,10,-0.1682021924
236,SAA,20,-0.197264975
237,Bayes,20,-0.1967996852
238,SAA,50,-0.1977464895
239,Bayes,50,-0.1974817936
240,SAA,10,-0.2059567182
241,Bayes,10,-0.2045257389
242,SAA,20,-0.1929590177
243,Bayes,20,-0.1939827583
244,SAA,50,-0.2051666344
245,Bayes,50,-0.2077918399
246,SAA,10,-0.2152914684
247,Bayes,10,-0.211446455
248,SAA,20,-0.2040393563
249,Bayes,20,-0.2002603958
250,SAA,50,-0.2060136979
251,Bayes,50,-0.2049072174
252,SAA,10,-0.2003667366
253,Bayes,10,-0.2096951973
254,SAA,20,-0.2097025732
255,Bayes,20,-0.2115501748
