,w_star,method,function,N,expected_cost
0,-0.4963234128533031,Bagging,0,10,0.14891054443243315
1,-0.3514881965465191,MLE,0,10,-0.0470779212023912
2,-0.4887308283454371,Beta_Bayesian,0,10,0.1355141958195077
3,-0.5221626237157713,SAA,0,10,0.19708955802557662
4,-0.23460511301022843,Bagging,0,25,-0.11358468836576613
5,-0.24535184205805172,MLE,0,25,-0.11088737931297658
6,-0.24803801844506257,Beta_Bayesian,0,25,-0.11010506398242977
7,-0.22700755473510945,SAA,0,25,-0.11507399453927783
8,-0.23593595419984015,Bagging,0,50,-0.11328820855107685
9,-0.22448264470099535,MLE,0,50,-0.11549235855411366
10,-0.24487316800744555,Beta_Bayesian,0,50,-0.11102224800141053
11,-0.24874915204098103,SAA,0,50,-0.10989071637904503
12,-0.11110735822389411,Bagging,0,10,-0.09490633234377893
13,-0.0887832998974282,MLE,0,10,-0.08177606474199053
14,-0.08566631545270069,Beta_Bayesian,0,10,-0.07970515572048667
15,-0.12799966439351643,SAA,0,10,-0.10285692762756246
16,-0.13342854999274936,Bagging,0,25,-0.10504902084807957
17,-0.14387020004421874,MLE,0,25,-0.10876865814193022
18,-0.1422745601537748,Beta_Bayesian,0,25,-0.10824253463198938
19,-0.134567691498323,SAA,0,25,-0.10548656927494751
20,-0.24571764369203927,Bagging,0,50,-0.11078338738335533
21,-0.25844230139932445,MLE,0,50,-0.10666686334734686
22,-0.26006736578029155,Beta_Bayesian,0,50,-0.10607127180454823
23,-0.24609444750906917,SAA,0,50,-0.11067542929048454
24,-0.09397215114405565,Bagging,0,10,-0.0850943791196015
25,0.051918352548936356,MLE,0,10,0.06970846886366795
26,-0.09026163580204871,Beta_Bayesian,0,10,-0.08273790881935446
27,-0.09750636001060739,SAA,0,10,-0.0872621631638536
28,-0.3251860407611112,Bagging,0,25,-0.06918245906805176
29,-0.3862381355846958,MLE,0,25,-0.011517033989065874
30,-0.33205923755214495,Beta_Bayesian,0,25,-0.0638062903067213
31,-0.3165066213096352,SAA,0,25,-0.0755669830088005
32,-0.22836258513514734,Bagging,0,50,-0.11483372056302094
33,-0.28633938950889515,MLE,0,50,-0.09424647854977553
34,-0.30091010891036607,Beta_Bayesian,0,50,-0.0859052259800816
35,-0.2301608486352542,SAA,0,50,-0.11449786226280782
36,-0.3072002527870771,Bagging,0,10,-0.08191116301992704
37,-0.3674497655315334,MLE,0,10,-0.03164242058422044
38,-0.2299936011243351,Beta_Bayesian,0,10,-0.11452991610051974
39,-0.33506002022301157,SAA,0,10,-0.06137031946648342
40,-0.17490285961893678,Bagging,0,25,-0.11596706751744958
41,-0.20920927918013996,MLE,0,25,-0.1172085670917737
42,-0.162692364764046,Beta_Bayesian,0,25,-0.11382331978499403
43,-0.18627506744651176,SAA,0,25,-0.11716007746491064
44,-0.16955538364508654,Bagging,0,50,-0.11513819531831261
45,-0.19298123951381002,MLE,0,50,-0.11750033492477407
46,-0.18435617604030838,Beta_Bayesian,0,50,-0.11701312681492475
47,-0.171191398157674,SAA,0,50,-0.1154099750683233
48,-0.2523916187951929,Bagging,0,10,-0.10874530129744694
49,-0.25866769159492053,MLE,0,10,-0.10658520232841433
50,-0.3030919118654762,Beta_Bayesian,0,10,-0.08454670036226684
51,-0.25027240207146495,SAA,0,10,-0.10942138535421993
52,-0.1159166254627827,Bagging,0,25,-0.09734399505073199
53,-0.025088246063223883,MLE,0,25,-0.027896190896266597
