,w_star,method,function,N
0,0.118800684,Bagging,0,10
1,0.10559509140000001,MLE,0,10
2,0.1337155068,SAA,0,10
3,0.0996441127,KDE,0,10
4,0.0808284993,Bayesian,0,10
5,-0.058305417400000004,Bagging,0,25
6,-0.0555515018,MLE,0,25
7,-0.0520574253,SAA,0,25
8,-0.09036054660000001,KDE,0,25
9,-0.0408902639,Bayesian,0,25
10,-0.1747720938,Bagging,0,50
11,-0.2122183259,MLE,0,50
12,-0.1792940948,SAA,0,50
13,-0.21015688510000002,KDE,0,50
14,-0.17191642699999998,Bayesian,0,50
15,-0.2926445895,Bagging,0,10
16,-0.340541117,MLE,0,10
17,-0.3164051931,SAA,0,10
18,-0.4244162407,KDE,0,10
19,-0.34593672770000006,Bayesian,0,10
20,-0.1275264185,Bagging,0,25
21,-0.0044865627,MLE,0,25
22,-0.12050809259999999,SAA,0,25
23,-0.1871393271,KDE,0,25
24,-0.0914127716,Bayesian,0,25
25,-0.2362789527,Bagging,0,50
26,-0.2579782445,MLE,0,50
27,-0.24655768,SAA,0,50
28,-0.2923427221,KDE,0,50
29,-0.2450609062,Bayesian,0,50
30,0.059786415,Bagging,0,10
31,-0.07148878480000001,MLE,0,10
32,0.0475116862,SAA,0,10
33,-0.0249716007,KDE,0,10
34,0.0305196015,Bayesian,0,10
35,-0.0897279525,Bagging,0,25
36,-0.1510529056,MLE,0,25
37,-0.099377359,SAA,0,25
38,-0.1500333612,KDE,0,25
39,-0.1173502085,Bayesian,0,25
40,-0.154292059,Bagging,0,50
41,-0.1600092689,MLE,0,50
42,-0.15277860669999999,SAA,0,50
43,-0.2068384173,KDE,0,50
44,-0.12448523130000001,Bayesian,0,50
45,0.0626362497,Bagging,0,10
46,0.0074113412,MLE,0,10
47,0.0567011466,SAA,0,10
48,-0.035092311,KDE,0,10
49,0.0800849276,Bayesian,0,10
50,0.0517646227,Bagging,0,25
51,0.043424699500000004,MLE,0,25
52,0.0552935051,SAA,0,25
53,0.0267505202,KDE,0,25
54,0.043895970199999995,Bayesian,0,25
55,-0.27063019260000004,Bagging,0,50
56,-0.2824469446,MLE,0,50
57,-0.2774726362,SAA,0,50
58,-0.3056245199,KDE,0,50
59,-0.2895289104,Bayesian,0,50
60,-0.3199705942,Bagging,0,10
61,-0.3628425859,MLE,0,10
62,-0.3132033151,SAA,0,10
63,-0.38615577759999997,KDE,0,10
64,-0.37509001810000003,Bayesian,0,10
65,-0.2986098793,Bagging,0,25
66,-0.40315009380000005,MLE,0,25
67,-0.3003209946,SAA,0,25
68,-0.3779803262,KDE,0,25
69,-0.2734963186,Bayesian,0,25
70,-0.1823615524,Bagging,0,50
71,-0.19414716899999998,MLE,0,50
72,-0.1894582497,SAA,0,50
73,-0.2342674138,KDE,0,50
74,-0.21448691260000002,Bayesian,0,50
75,-0.3078545298,Bagging,0,10
76,-0.2739499621,MLE,0,10
77,-0.3317192073,SAA,0,10
78,-0.45085537229999995,KDE,0,10
79,-0.25707741079999996,Bayesian,0,10
80,-0.0580576921,Bagging,0,25
81,-0.0823235717,MLE,0,25
82,-0.058871684400000006,SAA,0,25
83,-0.1121789501,KDE,0,25
84,-0.0316904537,Bayesian,0,25
85,-0.2461132721,Bagging,0,50
86,-0.286914317,MLE,0,50
87,-0.255076304,SAA,0,50
88,-0.2907150493,KDE,0,50
89,-0.22042549379999998,Bayesian,0,50
90,0.129186733,Bagging,0,10
91,0.07594036009999999,MLE,0,10
92,0.11634297910000001,SAA,0,10
93,0.0648668479,KDE,0,10
94,0.06804693,Bayesian,0,10
95,-0.17533886710000002,Bagging,0,25
96,-0.2507638759,MLE,0,25
97,-0.176632469,SAA,0,25
98,-0.23737653469999997,KDE,0,25
99,-0.17788442440000002,Bayesian,0,25
100,-0.2823252176,Bagging,0,50
101,-0.2409039161,MLE,0,50
102,-0.2824224541,SAA,0,50
103,-0.32123634440000004,KDE,0,50
104,-0.2636495346,Bayesian,0,50
105,-0.2323370863,Bagging,0,10
106,-0.3122994,MLE,0,10
107,-0.2492301747,SAA,0,10
108,-0.33902500539999997,KDE,0,10
109,-0.2290216607,Bayesian,0,10
110,-0.2966424607,Bagging,0,25
111,-0.34498680979999996,MLE,0,25
112,-0.3035656824,SAA,0,25
113,-0.3731096718,KDE,0,25
114,-0.27301681899999997,Bayesian,0,25
115,-0.1432997167,Bagging,0,50
116,-0.2013113377,MLE,0,50
117,-0.1523563104,SAA,0,50
118,-0.1935550284,KDE,0,50
119,-0.1529873195,Bayesian,0,50
120,-0.42425463280000003,Bagging,0,10
121,-0.9547233068000001,MLE,0,10
122,-0.4311232148,SAA,0,10
123,-0.5176645649,KDE,0,10
124,-0.4037572639,Bayesian,0,10
125,-0.264648121,Bagging,0,25
126,-0.2686230656,MLE,0,25
127,-0.27035641920000003,SAA,0,25
128,-0.330343734,KDE,0,25
129,-0.2530336039,Bayesian,0,25
130,-0.1973419981,Bagging,0,50
131,-0.25646278559999997,MLE,0,50
132,-0.20776854179999998,SAA,0,50
133,-0.2509105185,KDE,0,50
134,-0.1848488129,Bayesian,0,50
135,-0.42252489130000004,Bagging,0,10
136,-0.40413600549999995,MLE,0,10
137,-0.4477105377,SAA,0,10
138,-0.5720745039,KDE,0,10
139,-0.3608840146,Bayesian,0,10
140,-0.08565420039999999,Bagging,0,25
141,-0.053734234900000004,MLE,0,25
142,-0.0886268999,SAA,0,25
143,-0.14242609,KDE,0,25
144,-0.061371259000000004,Bayesian,0,25
145,-0.1628417629,Bagging,0,50
146,-0.22114406350000002,MLE,0,50
147,-0.1731800057,SAA,0,50
148,-0.2259903402,KDE,0,50
149,-0.1520919724,Bayesian,0,50
150,-0.4619376143,Bagging,0,10
151,-0.5427977606000001,MLE,0,10
152,-0.49244344630000003,SAA,0,10
153,-0.6411963427,KDE,0,10
154,-0.36568081490000004,Bayesian,0,10
155,-0.1926171588,Bagging,0,25
156,-0.1788674273,MLE,0,25
157,-0.195208685,SAA,0,25
158,-0.228031122,KDE,0,25
159,-0.1704196732,Bayesian,0,25
160,-0.2239872339,Bagging,0,50
161,-0.2531534206,MLE,0,50
162,-0.2322166702,SAA,0,50
163,-0.2753572635,KDE,0,50
164,-0.2307516205,Bayesian,0,50
165,-0.3013661902,Bagging,0,10
166,-0.4077781322,MLE,0,10
167,-0.3105191852,SAA,0,10
168,-0.34094992560000004,KDE,0,10
169,-0.3585368455,Bayesian,0,10
170,-0.047690656799999995,Bagging,0,25
171,-0.0574853291,MLE,0,25
172,-0.056005983499999995,SAA,0,25
173,-0.10250930289999999,KDE,0,25
174,-0.0632689049,Bayesian,0,25
175,-0.2367705352,Bagging,0,50
176,-0.2879374516,MLE,0,50
177,-0.24410046359999998,SAA,0,50
178,-0.28762858620000004,KDE,0,50
179,-0.2519637555,Bayesian,0,50
180,-0.31889254300000003,Bagging,0,10
181,-0.3402544693,MLE,0,10
182,-0.3339140439,SAA,0,10
183,-0.39790902780000004,KDE,0,10
184,-0.3508632657,Bayesian,0,10
185,-0.1880243114,Bagging,0,25
186,-0.0721312574,MLE,0,25
187,-0.1903775993,SAA,0,25
188,-0.2680492371,KDE,0,25
189,-0.17006409379999998,Bayesian,0,25
190,-0.17135607949999998,Bagging,0,50
191,-0.19732018210000002,MLE,0,50
192,-0.17287309210000001,SAA,0,50
193,-0.21305245690000002,KDE,0,50
194,-0.1820390833,Bayesian,0,50
195,-0.21064732,Bagging,0,10
196,-0.050510925199999994,MLE,0,10
197,-0.21601000210000001,SAA,0,10
198,-0.265045435,KDE,0,10
199,-0.2169688923,Bayesian,0,10
200,-0.08526525869999999,Bagging,0,25
201,-0.1556442432,MLE,0,25
202,-0.0992263578,SAA,0,25
203,-0.1483727876,KDE,0,25
204,-0.0991449882,Bayesian,0,25
205,-0.2029004306,Bagging,0,50
206,-0.2425854712,MLE,0,50
207,-0.2135618132,SAA,0,50
208,-0.2542259119,KDE,0,50
209,-0.1849475786,Bayesian,0,50
210,-0.34560131920000003,Bagging,0,10
211,-0.4422596282,MLE,0,10
212,-0.34894749490000004,SAA,0,10
213,-0.40536767009999997,KDE,0,10
214,-0.3398673215,Bayesian,0,10
215,-0.1170473702,Bagging,0,25
216,-0.1936293553,MLE,0,25
217,-0.1291892867,SAA,0,25
218,-0.1891251679,KDE,0,25
219,-0.0942700903,Bayesian,0,25
220,-0.1433018161,Bagging,0,50
221,-0.147397034,MLE,0,50
222,-0.151263005,SAA,0,50
223,-0.19182792850000002,KDE,0,50
224,-0.1452686359,Bayesian,0,50
225,-0.13660155289999998,Bagging,0,10
226,-0.0538944963,MLE,0,10
227,-0.1461834817,SAA,0,10
228,-0.2199424751,KDE,0,10
229,-0.1448337091,Bayesian,0,10
230,-0.35295135369999997,Bagging,0,25
231,-0.4273183439,MLE,0,25
232,-0.3589332394,SAA,0,25
233,-0.43937822990000003,KDE,0,25
234,-0.35059971549999996,Bayesian,0,25
235,-0.23975824329999998,Bagging,0,50
236,-0.2418616996,MLE,0,50
237,-0.24190266359999998,SAA,0,50
238,-0.2876368924,KDE,0,50
239,-0.2462289964,Bayesian,0,50
240,-0.407553048,Bagging,0,10
241,-0.3449653132,MLE,0,10
242,-0.43256342369999995,SAA,0,10
243,-0.5526104657,KDE,0,10
244,-0.30630439449999997,Bayesian,0,10
245,-0.3386516012,Bagging,0,25
