,x_star,method,N,distribution,expected_cost
0,-0.2011663964459356,true,10,0,-0.20011627317185088
1,-0.2011663964459356,true,25,0,-0.20011627317185088
2,-0.2011663964459356,true,50,0,-0.20011627317185088
3,-0.1939999862404404,saa,10,0,-0.19993869026954111
4,-0.20377087515356718,mle,10,0,-0.200053571523706
5,-0.19544581031087274,ks,10,0,-0.20001587244584562
6,-0.19599147204909337,mle_fixed,10,0,-0.20003956802400785
7,-0.193257536463894,ks_fixed,10,0,-0.1998909327843788
8,-0.2090173904439186,saa,25,0,-0.19972131223826817
9,-0.19204926423762958,mle,25,0,-0.19980142662843856
10,-0.21255119504643588,ks,25,0,-0.1993423784212198
11,-0.2061517687254426,mle_fixed,25,0,-0.19993690438261694
12,-0.21430927438505795,ks_fixed,25,0,-0.1991073398497435
13,-0.2093993396320513,saa,50,0,-0.19968637464302627
14,-0.21120103439125754,mle,50,0,-0.19950189900798082
15,-0.2086667237066682,ks,50,0,-0.1997521038499693
16,-0.20912954605121647,mle_fixed,50,0,-0.19971120445275314
17,-0.2100846910891712,ks_fixed,50,0,-0.1996200269035456
18,-0.20794553767410826,saa,10,0,-0.19981156527566354
19,-0.2076213875401627,mle,10,0,-0.19983659706189766
20,-0.21712944586537644,ks,10,0,-0.1986657523471868
21,-0.20457682534104155,mle_fixed,10,0,-0.2000204254580456
22,-0.2172589767034364,ks_fixed,10,0,-0.19864355978945
23,-0.19732290400907251,saa,25,0,-0.20008488987408785
24,-0.20526623415505094,mle,25,0,-0.19998691778525543
25,-0.20833009266924926,ks,25,0,-0.19978050617544477
26,-0.198841193711425,mle_fixed,25,0,-0.20011493883327625
27,-0.20086840790131794,ks_fixed,25,0,-0.20011912260146555
28,-0.20244844026085446,saa,50,0,-0.20009388564362693
29,-0.20929857045265696,mle,50,0,-0.19969573385673176
30,-0.20312147545482764,ks,50,0,-0.20007555366664184
31,-0.20489247824042686,mle_fixed,50,0,-0.20000567351193344
32,-0.19898853666174385,ks_fixed,50,0,-0.20011662784878803
33,-0.18606816030979756,saa,10,0,-0.19914335754041645
34,-0.2061781276902206,mle,10,0,-0.19993529549276354
35,-0.19520302868443018,ks,10,0,-0.20000437245927513
36,-0.1872928691877589,mle_fixed,10,0,-0.19930723174769532
37,-0.20007511217721335,ks_fixed,10,0,-0.20012237970757724
38,-0.1992393041027044,saa,25,0,-0.2001190032699513
39,-0.19919323218486232,mle,25,0,-0.20011861400240302
40,-0.20286425679852144,ks,25,0,-0.2000830945077802
