,w_star,method,gamma,N,expected_return,mean_variance
0,"[5.71425492e-01 0.00000000e+00 2.61509564e-16 4.28574508e-01
 1.25767452e-17]",SAA,20,50,27.211436486211966,2.340530688141178
1,[0.46108364 0.07342504 0.00289676 0.45599736 0.0065972 ],Bagging,20,50,27.21118001783017,2.361154188965092
2,"[5.37504787e-01 0.00000000e+00 2.79290480e-16 4.62495213e-01
 9.19403442e-17]",MLE,20,50,27.298612698355967,2.3418648976621337
3,"[3.16354589e-01 0.00000000e+00 2.25514052e-17 6.83645411e-01
 0.00000000e+00]",SAA,20,100,27.866968705503844,2.37498852879123
4,[0.33784081 0.00923707 0.00295236 0.64052711 0.00944264],Bagging,20,100,27.73785409491707,2.3742415306801394
5,"[3.60091676e-01 0.00000000e+00 1.96891115e-16 6.39908324e-01
 0.00000000e+00]",MLE,20,100,27.75456439359038,2.3650777589404655
6,"[4.65781166e-01 0.00000000e+00 2.37657116e-16 5.34218834e-01
 0.00000000e+00]",SAA,20,200,27.482942403075157,2.3479669412111672
7,"[4.51424309e-01 1.53705174e-16 1.34861740e-16 5.41820593e-01
 6.75509753e-03]",Bagging,20,200,27.48944158645333,2.350624313531861
8,"[4.10240412e-01 0.00000000e+00 4.17200996e-16 5.89759588e-01
 0.00000000e+00]",MLE,20,200,27.625682140294217,2.3557527916218985
9,"[6.52939649e-02 0.00000000e+00 9.17235038e-17 9.34706035e-01
 1.50920942e-16]",SAA,20,50,28.51219451026745,2.463925794947412
10,[0.2110086  0.02153179 0.00297255 0.76008748 0.00439958],Bagging,20,50,28.043848446800475,2.4074166403445063
11,"[1.98795957e-01 0.00000000e+00 7.41594286e-17 8.01204043e-01
 0.00000000e+00]",MLE,20,50,28.16909439089716,2.40983758787179
12,"[6.37047686e-01 1.38777878e-17 1.73472348e-17 3.62952314e-01
 0.00000000e+00]",SAA,20,100,27.042787446252532,2.3407780107171448
13,"[6.23519964e-01 1.05358430e-16 1.82457735e-05 3.76362085e-01
 9.97051080e-05]",Bagging,20,100,27.07710903429374,2.3404665445649133
14,"[6.44473492e-01 1.56125113e-16 0.00000000e+00 3.55526508e-01
 0.00000000e+00]",MLE,20,100,27.023703124786458,2.341040874376286
15,"[5.75714634e-01 1.06251813e-16 0.00000000e+00 4.24285366e-01
 7.86046575e-17]",SAA,20,200,27.20041338945926,2.340432945761706
16,"[5.91864803e-01 1.78124153e-03 5.02410486e-04 4.05851545e-01
 4.54347795e-17]",Bagging,20,200,27.152837078954295,2.341156333444211
17,"[5.26576314e-01 4.33680869e-17 0.00000000e+00 4.73423686e-01
 6.76542156e-17]",MLE,20,200,27.32669887328959,2.3425069769473628
18,"[0.00000000e+00 0.00000000e+00 6.40204717e-17 4.24562478e-01
 5.75437522e-01]",SAA,20,50,26.090531153039493,2.588697702588113
19,[0.01506142 0.00982873 0.05256737 0.48062649 0.44191598],Bagging,20,50,26.630129363245043,2.6356567022244817
20,[0.         0.         0.0326541  0.78823118 0.17911472],MLE,20,50,27.88116767717117,2.5402188126255334
21,"[9.17315360e-01 1.34820540e-16 0.00000000e+00 7.51680739e-02
 7.51656608e-03]",SAA,20,100,26.288674977405613,2.3862713992181916
22,"[7.53948317e-01 5.52895674e-17 2.79563652e-03 1.17870737e-01
 1.25385309e-01]",Bagging,20,100,26.178733974302116,2.393185837993724
23,"[7.67625361e-01 1.24900090e-16 0.00000000e+00 2.32374639e-01
 2.77555756e-17]",MLE,20,100,26.707202822797086,2.352363309798661
24,"[4.82743571e-01 1.19695920e-16 0.00000000e+00 5.17256429e-01
 0.00000000e+00]",SAA,20,200,27.439349022223297,2.3461216217164074
25,"[4.27778941e-01 3.78243260e-02 8.40849139e-17 5.18012945e-01
 1.63837883e-02]",Bagging,20,200,27.375630664578196,2.358031231100483
26,"[5.14148340e-01 1.47451495e-16 0.00000000e+00 4.85851660e-01
 1.02348685e-16]",MLE,20,200,27.358638765516712,2.3433628445724795
27,"[1.00000000e+00 3.22008045e-17 3.52907807e-17 5.22856498e-17
 2.56684864e-17]",SAA,20,50,26.109999999999996,2.4094999999999995
28,"[8.00663729e-01 1.48497996e-16 2.58354035e-02 9.41240677e-02
 7.93768001e-02]",Bagging,20,50,26.270782405600855,2.4258229900923265
29,"[9.82127031e-01 0.00000000e+00 3.40439482e-17 0.00000000e+00
 1.78729685e-02]",MLE,20,50,26.07550517074813,2.4098499115360865
30,[0.63233834 0.         0.         0.36766166 0.        ],SAA,20,100,27.054890463864844,2.340636051504843
31,"[6.48441415e-01 1.11716192e-16 4.83917377e-17 3.51558585e-01
 8.01030249e-17]",Bagging,20,100,27.01350556464717,2.341200909229472
32,"[6.06085523e-01 7.28583860e-17 4.85722573e-17 3.93914477e-01
 0.00000000e+00]",MLE,20,100,27.12236020543584,2.340196644097799
33,"[7.44547977e-01 6.59194921e-17 3.20923843e-17 2.55452023e-01
 0.00000000e+00]",SAA,20,200,26.766511699936913,2.349241607701916
34,"[7.31918364e-01 1.63128510e-02 1.76099746e-04 2.50986919e-01
 6.05765564e-04]",Bagging,20,200,26.739677007017022,2.3522988677547443
35,"[7.96064936e-01 0.00000000e+00 4.85722573e-17 2.03935064e-01
 1.38777878e-16]",MLE,20,200,26.634113115541677,2.3568447582261367
36,"[5.97160966e-01 5.89805982e-17 6.76542156e-17 4.02839034e-01
 1.30104261e-16]",SAA,20,50,27.14529631832816,2.3401832061268553
37,"[5.44867007e-01 1.44527639e-02 4.96454015e-04 4.10672582e-01
 2.95111936e-02]",Bagging,20,50,27.096849550349248,2.3497107170310683
38,"[6.11079376e-01 6.76542156e-17 0.00000000e+00 3.88920624e-01
 0.00000000e+00]",MLE,20,50,27.109526003011002,2.3402342598040384
