,w_star,method,gamma,N,mean_variance,expected_return
0,"[2.49394451e-01 4.77959686e-15 0.00000000e+00 7.50605549e-01
 3.51151400e-15]",SAA,10,50,0.9914183270771342,28.039056260930206
1,"[2.97734705e-01 2.51778488e-03 3.96567399e-04 6.03943852e-01
 9.54070907e-02]",bagging,10,50,1.0162761548500545,27.476840430691897
2,"[1.04767766e-01 2.01921813e-15 2.70303615e-01 6.24928619e-01
 5.23838306e-15]",SAA,10,100,1.5793304355681848,28.470213636680178
3,[0.25667878 0.00684365 0.24299546 0.467881   0.02560111],bagging,10,100,1.508237129821731,27.9348420761
4,[0.63635101 0.         0.         0.36364899 0.        ],SAA,10,200,0.9885269043228329,27.0445779043
5,"[6.05444561e-01 1.96833489e-04 1.39277915e-04 3.94133247e-01
 8.60810696e-05]",bagging,10,200,0.9842798747050021,27.12296775593412
6,"[5.11605016e-01 5.71742573e-15 0.00000000e+00 4.88394984e-01
 1.71762999e-15]",SAA,10,50,0.9752957255516597,27.365175108880187
7,[0.46381121 0.00164413 0.00076994 0.52571293 0.00806178],bagging,10,50,0.9781000084810829,27.4461911492
8,"[1.39280458e-01 4.79911250e-15 0.00000000e+00 8.60719542e-01
 3.95950633e-15]",SAA,10,100,1.0159411278316832,28.322049222940215
9,"[1.86679357e-01 2.30504585e-03 8.10577790e-05 7.01593569e-01
 1.09340971e-01]",bagging,10,100,1.0359156506328624,27.7002190246616
10,"[6.44462495e-01 1.66868837e-01 0.00000000e+00 1.88668668e-01
 1.07075807e-15]",SAA,10,200,1.061347630777592,26.44469652346002
11,"[5.04496237e-01 2.67981842e-01 5.05735091e-03 2.22196983e-01
 2.67587032e-04]",bagging,10,200,1.0843507101329872,26.453456153062763
12,"[1.00000000e+00 0.00000000e+00 2.74780199e-14 0.00000000e+00
 0.00000000e+00]",SAA,10,50,1.1040000000001626,26.110000000000795
13,"[9.65067207e-01 1.49576698e-02 1.11497107e-04 1.98636261e-02
 1.23016262e-15]",bagging,10,50,1.0967611127431844,26.147898693368326
14,"[7.97599362e-01 2.17707796e-16 2.93168267e-16 2.02400638e-01
 0.00000000e+00]",SAA,10,100,1.0255979828577981,26.630169639660018
15,"[6.43266477e-01 6.46039881e-03 4.25339295e-14 2.51719892e-01
 9.85532324e-02]",bagging,10,100,1.0390546528784332,26.560898030463328
16,"[5.74887285e-01 0.00000000e+00 2.81025203e-15 4.25112715e-01
 0.00000000e+00]",SAA,10,200,0.9803235756318891,27.202539677550078
17,"[5.55160444e-01 1.99399902e-14 2.02245727e-13 4.05330774e-01
 3.95087818e-02]",bagging,10,200,0.9947377134206405,27.075448135090344
18,"[0.00000000e+00 0.00000000e+00 1.88737914e-14 1.00000000e+00
 0.00000000e+00]",SAA,10,50,1.0620000000001104,28.680000000000547
19,"[5.85554865e-04 4.89080678e-03 2.82241096e-03 9.65530850e-01
 2.61703776e-02]",bagging,10,50,1.0689236944743437,28.54437826156095
20,"[4.08067912e-01 0.00000000e+00 1.26092713e-16 5.91932088e-01
 7.25331253e-17]",SAA,10,100,0.9745483556161498,27.631265466160002
21,[0.32888027 0.12009541 0.01200155 0.53749659 0.00152618],bagging,10,100,1.021963896688891,27.4138191644
22,"[2.43929222e-01 0.00000000e+00 0.00000000e+00 7.56070778e-01
 4.53738609e-17]",SAA,10,200,0.9923878086926119,28.05310189946
23,[0.25037735 0.01981761 0.0214381  0.70298343 0.0053835 ],bagging,10,200,1.0205216551735963,27.948253449
24,"[1.00000000e+00 1.13797860e-14 0.00000000e+00 0.00000000e+00
 6.27276009e-15]",SAA,10,50,1.1040000000000871,26.11000000000044
25,[0.7666787  0.01508921 0.02551365 0.10784949 0.08486896],bagging,10,50,1.1116232356267366,26.280979152100006
26,"[9.46673670e-01 0.00000000e+00 6.59194921e-17 5.33263296e-02
 0.00000000e+00]",SAA,10,100,1.0799013125036376,26.247048656628003
27,[0.71983823 0.06580071 0.01061728 0.18776175 0.01598203],bagging,10,100,1.0587194775877098,26.532103951800003
28,"[1.00000000e+00 0.00000000e+00 8.62365734e-14 0.00000000e+00
 1.13797860e-15]",SAA,10,200,1.1040000000005175,26.110000000002522
29,[0.86861892 0.00479507 0.02906946 0.09602725 0.0014893 ],bagging,10,200,1.0999173360575285,26.4307039139
30,"[1.00000000e+00 0.00000000e+00 3.38618023e-15 0.00000000e+00
 7.77156117e-16]",SAA,10,50,1.1040000000000236,26.110000000000117
31,[0.83160339 0.00166309 0.02342885 0.09755489 0.04574978],bagging,10,50,1.1001396063265632,26.336288702399997
32,"[9.39745506e-02 5.60015856e-01 8.63675451e-16 3.46009594e-01
 1.25463875e-15]",SAA,10,100,1.152824076577137,26.495230401846058
33,[0.32105672 0.2032587  0.01281308 0.36974995 0.09312155],bagging,10,100,1.0929834872947537,26.733348443199997
34,"[2.41427831e-01 1.05991604e-15 0.00000000e+00 7.58572169e-01
 0.00000000e+00]",SAA,10,200,0.9928401612317361,28.05953047433003
35,[0.29067298 0.03276157 0.00180164 0.64558064 0.02918317],bagging,10,200,1.0013785669093114,27.688359889300003
36,"[6.14531950e-01 0.00000000e+00 5.03069808e-16 3.85468050e-01
 0.00000000e+00]",SAA,10,50,0.9852402486581604,27.100652888500015
37,"[5.26307775e-01 1.36083746e-02 2.84616532e-04 4.23790871e-01
 3.60083635e-02]",bagging,10,50,0.9952931434242838,27.118192956400797
