,w_star,method,gamma,N
0,"[0.00000000e+00 0.00000000e+00 8.39778247e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,50
1,"[6.89726054e-14 7.25308702e-13 0.00000000e+00 1.00000000e+00
 1.05565556e-12]",Bayesian,0.1,100
2,[0.         0.         0.01226915 0.98773085 0.        ],Bayesian,0.1,200
3,[0.         0.         0.06186751 0.93813249 0.        ],Bayesian,1.0,50
4,"[1.02695630e-15 6.38378239e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
5,"[9.24207073e-15 0.00000000e+00 4.39491888e-02 9.56050811e-01
 7.04187189e-15]",Bayesian,1.0,200
6,"[4.79923957e-01 4.11996826e-17 6.76542156e-17 5.20076043e-01
 8.76035355e-17]",Bayesian,5.0,50
7,"[1.67146902e-01 3.29597460e-16 8.67361738e-17 8.32853098e-01
 0.00000000e+00]",Bayesian,5.0,100
8,"[3.00204788e-01 1.04083409e-16 0.00000000e+00 6.99795212e-01
 0.00000000e+00]",Bayesian,5.0,200
9,"[0.00000000e+00 0.00000000e+00 1.97350469e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,50
10,[0.         0.         0.07686444 0.92313556 0.        ],Bayesian,0.1,100
11,"[2.52527512e-11 2.88757283e-11 1.14365902e-01 8.85634098e-01
 3.63646121e-11]",Bayesian,0.1,200
12,"[1.25177330e-13 1.13059964e-13 6.54251936e-02 9.34574806e-01
 1.49246732e-13]",Bayesian,1.0,50
13,"[0.00000000e+00 2.77555756e-16 2.22044605e-15 1.00000000e+00
 6.91113833e-15]",Bayesian,1.0,100
14,[0.         0.         0.03328566 0.96671434 0.        ],Bayesian,1.0,200
15,"[6.93889390e-18 5.98479599e-17 4.33680869e-18 1.00000000e+00
 1.11022302e-16]",Bayesian,5.0,50
16,"[1.48971255e-01 1.14491749e-16 1.21430643e-16 8.51028745e-01
 0.00000000e+00]",Bayesian,5.0,100
17,"[2.82429840e-01 2.60208521e-17 5.02155738e-02 6.67354586e-01
 1.38777878e-17]",Bayesian,5.0,200
18,"[7.37465644e-14 1.09270926e-12 0.00000000e+00 1.00000000e+00
 1.83875137e-12]",Bayesian,0.1,50
19,"[4.92763335e-13 1.48050546e-12 1.96442679e-01 8.03557321e-01
 2.83188802e-12]",Bayesian,0.1,100
20,"[8.92348906e-12 1.20896031e-11 2.12603388e-01 7.87396612e-01
 1.70228250e-11]",Bayesian,0.1,200
21,"[0.00000000e+00 0.00000000e+00 6.10622664e-16 1.00000000e+00
 2.44249065e-15]",Bayesian,1.0,50
22,"[5.55111512e-17 3.33066907e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
23,"[0.00000000e+00 1.38777878e-16 4.16333634e-16 1.00000000e+00
 6.43929354e-15]",Bayesian,1.0,200
24,"[1.11022302e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 2.39391840e-16]",Bayesian,5.0,50
25,"[3.81536681e-01 1.96891115e-16 2.51372887e-03 6.15949590e-01
 0.00000000e+00]",Bayesian,5.0,100
26,"[4.35982463e-02 0.00000000e+00 0.00000000e+00 9.56401754e-01
 4.16333634e-17]",Bayesian,5.0,200
27,[0.         0.         0.43441105 0.56558895 0.        ],Bayesian,0.1,50
28,"[7.12298030e-11 7.51901966e-11 1.67155746e-01 8.32844253e-01
 9.38549445e-11]",Bayesian,0.1,100
29,"[2.22065120e-14 4.98241895e-12 4.04358048e-01 5.95641952e-01
 9.83544380e-12]",Bayesian,0.1,200
30,"[0.00000000e+00 1.66533454e-15 2.49800181e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
31,"[0.00000000e+00 0.00000000e+00 3.91353616e-15 1.00000000e+00
 4.38538095e-15]",Bayesian,1.0,100
